contract,date,prev_close,prev_settlement,open,high,low,close,settlement,price_change,settlement_change,volume,turnover,open_interest,Unnamed: 14
al2407,2023-09-07,18800,18715,18760,18790,18740,18775,18770,60,55,18,168.945,174,
al2401,2023-09-08,18785,18785,18765,18790,18560,18600,18670,-185,-115,9409,87849.1375,30051,
al2407,2023-09-08,18775,18770,18730,18730,18575,18600,18645,-170,-125,70,652.6375,205,
al2407,2023-09-11,18600,18645,18755,18755,18735,18735,18750,90,105,5,46.8775,206,
al2401,2023-09-11,18600,18670,18600,18800,18560,18750,18675,80,5,7994,74651.0075,31938,
al2407,2023-09-12,18735,18750,18755,18855,18755,18845,18835,95,85,18,169.5175,214,
al2401,2023-09-12,18750,18675,18750,18890,18735,18820,18830,145,155,6397,60235.95,32423,
al2401,2023-09-13,18820,18830,18820,18865,18625,18735,18735,-95,-95,6049,56671.4725,32658,
al2407,2023-09-13,18845,18835,18845,19015,18695,18695,18750,-140,-85,90,843.76,273,
al2401,2023-09-14,18735,18735,18765,18925,18720,18890,18825,155,90,8467,79716.1225,31990,
al2407,2023-09-14,18695,18750,18835,18835,18835,18835,18835,85,85,1,9.4175,273,
al2401,2023-09-15,18890,18825,18940,18980,18835,18885,18935,60,110,8500,80493.56,34575,
al2407,2023-09-15,18835,18835,18915,18970,18770,18930,18900,95,65,54,510.3,258,
al2401,2023-09-18,18885,18935,18815,18855,18680,18780,18760,-155,-175,17225,161592.555,35529,
al2407,2023-09-18,18930,18900,18765,18765,18695,18755,18740,-145,-160,7,65.605,258,
al2407,2023-09-19,18755,18740,18800,18900,18800,18900,18885,160,145,74,698.81,276,
al2401,2023-09-19,18780,18760,18825,18945,18800,18855,18875,95,115,12132,114508.0025,34976,
al2401,2023-09-20,18855,18875,18870,18945,18805,18935,18875,60,0,9177,86625.125,35552,
al2407,2023-09-20,18900,18885,18830,18890,18830,18875,18865,-10,-20,14,132.0875,271,
al2401,2023-09-21,18935,18875,19000,19115,18960,19035,19030,160,155,16859,160452.835,38509,
al2407,2023-09-21,18875,18865,19080,19100,18980,19100,19050,235,185,3,28.58,271,
al2401,2023-09-22,19035,19030,18900,19240,18885,19145,19110,115,80,24141,230705.935,40042,
al2407,2023-09-22,19100,19050,18885,19145,18885,19025,19060,-25,10,244,2325.5075,286,
al2401,2023-09-25,19145,19110,19230,19230,18990,19120,19105,10,-5,20974,200383.5825,44263,
al2407,2023-09-25,19025,19060,19030,19030,18895,18990,18960,-70,-100,31,293.88,287,
al2401,2023-09-26,19120,19105,19070,19235,19055,19150,19145,45,40,17434,166902.29,47370,
al2407,2023-09-26,18990,18960,19020,19115,18935,19035,19040,75,80,21,199.9325,297,
al2407,2023-09-27,19035,19040,19050,19125,19050,19125,19080,85,40,5,47.71,297,
al2401,2023-09-27,19150,19145,19200,19245,19160,19225,19200,80,55,16187,155419.865,49333,
al2401,2023-09-28,19225,19200,19250,19450,19190,19240,19290,40,90,23025,222106.585,50877,
al2407,2023-09-28,19125,19080,19285,19310,19100,19110,19150,30,70,25,239.39,301,
al2401,2023-10-09,19240,19290,19200,19220,18950,18955,19040,-335,-250,18062,171984.285,53157,
al2407,2023-10-09,19110,19150,19095,19095,18900,18900,18910,-250,-240,74,699.8175,367,
al2401,2023-10-10,18955,19040,18935,19020,18750,18815,18885,-225,-155,28905,272961.83,56276,
al2407,2023-10-10,18900,18910,18860,18965,18825,18825,18910,-85,0,19,179.6875,378,
al2401,2023-10-11,18815,18885,18815,18965,18780,18910,18885,25,0,29214,275897.545,57446,
al2407,2023-10-11,18825,18910,18830,18885,18830,18855,18855,-55,-55,155,1461.5825,430,
al2407,2023-10-12,18855,18855,18825,18890,18770,18840,18815,-15,-40,96,903.3025,460,
al2401,2023-10-12,18910,18885,18870,18950,18825,18920,18900,35,15,23523,222346.94,58430,
al2401,2023-10-13,18920,18900,18895,18900,18730,18765,18800,-135,-100,26522,249364.045,62216,
al2407,2023-10-13,18840,18815,18780,18780,18700,18730,18740,-85,-75,96,899.5825,452,
al2401,2023-10-16,18765,18800,18820,18885,18740,18840,18815,40,15,19819,186449.3525,62307,
al2407,2023-10-16,18730,18740,18720,18820,18720,18820,18740,80,0,22,206.185,467,
al2401,2023-10-17,18840,18815,18830,18840,18615,18630,18695,-185,-120,34043,318249.1025,63073,
al2407,2023-10-17,18820,18740,18775,18775,18590,18640,18660,-100,-80,136,1269.1875,563,
al2401,2023-10-18,18630,18695,18610,18815,18610,18745,18730,50,35,30051,281432.8675,65594,
al2407,2023-10-18,18640,18660,18740,18740,18690,18690,18720,30,60,3,28.085,564,
al2407,2023-10-19,18690,18720,18770,18805,18740,18740,18760,20,40,40,375.23,577,
al2401,2023-10-19,18745,18730,18750,18845,18750,18785,18795,55,65,25695,241531.475,65516,
al2407,2023-10-20,18740,18760,18810,18810,18710,18710,18740,-50,-20,9,84.33,581,
al2401,2023-10-20,18785,18795,18810,18840,18715,18740,18780,-55,-15,20376,191363.28,67199,
al2401,2023-10-23,18740,18780,18765,18805,18635,18660,18710,-120,-70,27983,261818.795,68818,
al2407,2023-10-23,18710,18740,18720,18720,18625,18640,18655,-100,-85,104,970.135,646,
al2401,2023-10-24,18660,18710,18660,18760,18660,18750,18710,40,0,35999,336837.475,72386,
al2407,2023-10-24,18640,18655,18660,18710,18635,18710,18695,55,40,50,467.385,668,
al2401,2023-10-25,18750,18710,18725,19040,18725,19005,18945,295,235,59121,560109.3275,83071,
al2407,2023-10-25,18710,18695,18820,19000,18800,18965,18935,270,240,45,426.0725,680,
al2401,2023-10-26,19005,18945,19030,19050,18855,18960,18940,15,-5,46792,443175.7625,90326,
al2407,2023-10-26,18965,18935,18965,18990,18870,18870,18960,-65,25,17,161.1675,694,
al2407,2023-10-27,18870,18960,18800,18800,18800,18800,18800,-160,-160,1,9.4,693,
al2401,2023-10-27,18960,18940,18920,18955,18760,18865,18830,-75,-110,60236,567167.545,95544,
al2401,2023-10-30,18865,18830,18865,19185,18865,19160,19090,330,260,100049,955054.6625,111516,
al2407,2023-10-30,18800,18800,18960,19085,18960,19060,19035,260,235,59,561.6125,695,
